id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
0,Simpsons Roasting on an Open Fire,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.    ,1989-12-17,7G08,David Silverman,Mimi Pond,1,1,1,26.7,8.1,6.921,101
1,Bart the Genius,Bart ends up at a school for gifted children after cheating on an IQ test.    ,1990-01-14,7G02,David Silverman,Jon Vitti,1,2,2,24.5,7.7,7.4,62
2,Homer's Odyssey,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.    ",1990-01-21,7G03,Wes Archer,Jay Kogen & Wallace Wolodarsky,1,3,3,27.5,7.3,6.5,58
3,There's No Disgrace Like Home,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.    ",1990-01-28,7G04,Gregg Vanzo & Kent Butterworth,Al Jean & Mike Reiss,1,4,4,20.2,7.7,7.2,52
4,Bart the General,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.    ",1990-02-04,7G05,David Silverman,John Swartzwelder,1,5,5,27.1,7.9,6.9,53
5,Moaning Lisa,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.    ",1990-02-11,7G06,Wes Archer,Al Jean & Mike Reiss,1,6,6,27.4,7.6,7.2,50
6,The Call of the Simpsons,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.    ",1990-02-18,7G09,Wes Archer,John Swartzwelder,1,7,7,27.6,7.7,6.9,49
7,The Telltale Head,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.    ,1990-02-25,7G07,Rich Moore,"Al Jean, Mike Reiss, Sam Simon & Matt Groening",1,8,8,28.0,7.6,7.0,47
8,Life on the Fast Lane,Marge contemplates an affair with a handsome bowling instructor.    ,1990-03-18,7G11,David Silverman,John Swartzwelder,1,9,9,33.5,7.4,6.8,47
9,Homer's Night Out,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.    ",1990-03-25,7G10,Rich Moore,Jon Vitti,1,10,10,30.3,7.3,6.7,45
10,The Crepes of Wrath,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.    ",1990-04-15,7G13,Wes Archer & Milton Gray,"George Meyer, Sam Simon, John Swartzwelder & Jon Vitti",1,11,11,31.2,7.7,7.0,47
11,Krusty Gets Busted,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.    ",1990-04-29,7G12,Brad Bird,Jay Kogen & Wallace Wolodarsky,1,12,12,30.4,8.3,7.3,48
12,Some Enchanted Evening,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.    ",1990-05-13,7G01,David Silverman & Kent Butterworth,Matt Groening & Sam Simon,1,13,13,27.1,7.7,7.2,48
13,Bart Gets an 'F',"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.    ",1990-10-11,7F03,David Silverman,David M. Stern,2,1,14,33.6,8.2,7.5,46
14,Simpson and Delilah,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.    ,1990-10-18,7F02,Rich Moore,Jon Vitti,2,2,15,29.9,8.2,7.6,36
15,Treehouse of Horror,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.    ",1990-10-25,7F04,Wes Archer,John Swartzwelder,2,3,16,27.4,8.2,7.5,39
16,Two Cars in Every Garage and Three Eyes on Every Fish,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.    ",1990-11-01,7F01,Wes Archer,Sam Simon & John Swartzwelder,2,4,17,26.1,8.0,7.4,36
